UID,Bill.Title,Fulltext.Intro.URL,Session,FinalCode,Bill/Resolution Summary
1,"Richmond, City of; amending charter, residency of council members.",https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HB1064,2020,Local Government,SUMMARY AS INTRODUCED: Charter; City of Richmond. Requires a council member to reside in the election district from which the member was elected throughout the member's term on the council. A council member may be removed from office for failure to comply with the residency requirement. This bill is identical to SB 528.
2,Springfield Model 1855 Rifle-Musket; designating as the official firearm of the Commonwealth.,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HB144,2020,Government Operations,SUMMARY AS INTRODUCED: Official emblems and designations; state firearm.   Designates the Springfield Model 1855 Rifle-Musket as the official  firearm of  the Commonwealth.
3,Real estate tax; exemption for property in redevelopment or conservation areas.,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+SB727,2020,Environment,SUMMARY AS INTRODUCED: Real estate tax exemption for property in redevelopment or conservation areas or rehabilitation districts. Increases the maximum duration of a local real estate tax exemption for structures in redevelopment or conservation areas or rehabilitation districts from 15 to 30 years. This bill is identical to HB 537.
5,"Ranked choice voting; elections for local governing bodies, local option pilot program.",https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HB1103,2020,Government Operations,"SUMMARY AS INTRODUCED: Ranked choice voting; elections for local governing bodies; local option pilot program. Provides that elections for local governing bodies may be conducted by ranked choice voting, which the bill defines as the method of casting and tabulating votes in which (i) voters rank candidates in order of preference, (ii) tabulation proceeds in rounds such that in each round either a candidate or candidates are elected or the last-place candidate is defeated, (iii) votes for voters' next-ranked candidates are transferred from elected or defeated candidates, and (iv) tabulation ends when the number of candidates elected equals the number of offices to be filled. The bill allows any local governing body to decide to conduct such election by ranked choice voting and requires any such decision to be made in consultation with the local electoral board and general registrar and by a majority vote of the governing body. The bill authorizes the State Board of Elections to promulgate regulations for the proper and efficient administration of elections determined by ranked choice voting. The bill provides that any costs incurred by the Department of Elections related to technological changes necessary for the implementation of ranked choice voting pursuant to the bill shall be charged to the localities exercising the option to proceed with ranked choice voting. The bill has a delayed effective date of July 1, 2021, and sunsets on July 1, 2031."
7,Commending Zena Maria Cardman.,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HJ250,2020,Technology,SUMMARY AS INTRODUCED: Commending Zena Maria Cardman.
8,"Campgrounds; inherent risks, liability.",https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HB1379,2020,Law and Crime,"SUMMARY AS INTRODUCED: Campgrounds; inherent risks; liability. Provides that a person who goes camping at a campground shall be presumed to have known the inherent risks of camping, defined in the bill. The bill states that a campground, an owner or operator of a campground, and any employee or officer of a campground shall be immune from civil liability for acts or omissions related to camping at a campground if a person is injured or killed, or the property of an individual or group is damaged, as a result of the inherent risks of camping. An owner or operator of a campground, and any employee or officer of a campground, may be held civilly liable under this section if the person or agents of the campground seeking immunity intentionally cause injury, death, or property damage; act with a willful or wanton disregard for the safety of others or the property of others; or fail to conspicuously post warning signs of a dangerous inconspicuous condition known on the property if the owner of the campground is aware of the condition by reason of a prior injury involving the same location or the same mechanism of injury."
9,Lottery Board; regulation of casino gaming.,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HB428,2020,Domestic Commerce,"SUMMARY AS INTRODUCED: Lottery Board; regulation of casino  gaming.  Authorizes casino gaming in the Commonwealth to be regulated by the   Virginia Lottery Board (the Board). Casino gaming shall be limited  to certain  cities that meet the criteria that is outlined in the  bill, and a referendum  must be passed in the city on the question  of allowing casino gaming in the  city. This bill is a reenactment  of the first enactment of Senate Bill 1126 of  the 2019 legislative  session."
12,Firearms or other weapons; unauthorized to possess on school property.,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HB1080,2020,Law and Crime,SUMMARY AS INTRODUCED: Firearms or other weapons on school property.  Provides  that no school board may authorize or designate any  person to possess a firearm  on school property other than those persons  expressly authorized by statute.  The bill also clarifies that no  exemption exists for a special conservator of  the peace to possess  a firearm or other weapon on school property.
13,"Motor Vehicles, Department of; access to certain documents.",https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+SB405,2020,Transportation,"SUMMARY AS INTRODUCED: Department of Motor Vehicles; access to documents.  Provides  for the Department of Motor Vehicles (Department) to  facilitate  access to certain documents. The bill requires the Department  to  accept a printed version of an online United States  Postal Service  change of address confirmation as primary proof of Virginia  residency  for the purpose of issuing special identification cards and certain   driver's licenses and permits. The bill prohibits the Department  from charging  fees for the issuance of driver's licenses, learner's  permits, commercial  driver's licenses, special identification cards,  and special identification  cards without a photograph if the applicant  provides proof that he is a current  recipient of a state or federally  funded public assistance program for the  indigent. The bill requires  the Department to issue, upon  request and free of charge, a special  identification card to replace any  suspended, revoked, or canceled  driver's license  surrendered to a court or the Department. The bill  requires the Department of  Corrections and the sheriff, jail superintendent,  or other jail administrator  of a local correctional facility to provide,  upon  request and free of charge, a special identification  card to  a prisoner upon his release."
15,"Transportation; amends numerous laws related to funds, safety programs, revenue sources, etc.",https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+SB890,2020,Transportation,"SUMMARY AS ENACTED WITH GOVERNOR'S RECOMMENDATION: Transportation. Amends numerous laws related to transportation funds, revenue sources, construction, and safety programs.   The bill adopts numerous structural changes to the transportation funding system in the Commonwealth. Most transportation revenues are directed to a new Commonwealth Transportation Fund and the existing Highway Maintenance and Operating Fund. Funds are then disbursed, based on codified formulas, to subfunds established to meet the varying transportation needs of different modes of transportation. The existing gas tax based on a percentage of the wholesale price of gasoline and diesel fuel is converted to a cents-per-gallon tax. A rate of $0.262 per gallon of gasoline will be phased in over two years, and then indexed every year thereafter. The regional gas tax will be converted to a rate of $0.076 per gallon of gasoline and will be imposed everywhere in the Commonwealth that a regional gas tax is not already imposed. Registration fees for motor vehicles will be lowered. The Department of Motor Vehicles will implement a Highway Use Fee for alternative fuel and fuel-efficient vehicles. Alternatively, a person whose vehicles would be subject to this new fee may elect to instead enroll in a mileage-based user fee program to be developed by the Department. The bill also eliminates the $5 walk-in fee for conducting certain transactions in person at the Department of Motor Vehicles, and prohibits a person from being issued a citation for both an expired motor vehicle inspection sticker and faulty equipment. In Northern Virginia, the regional transportation improvement fee, used to support the Washington Metropolitan Area Transit Authority (WMATA), is lowered to $0.10 per $100 for the recordation of conveyance of a deed. A new regional congestion fee is imposed at a rate of $0.10 per $100 for the recordation of conveyance of a deed. The regional transient occupancy tax is raised from two percent to three percent. The bill authorizes the use of transportation bonds to complete the final section of Corridor Q of the Appalachian Development Highway System, and authorizes a bond issuance for improvements in the Interstate 81 and Interstate 66 corridors. The bill establishes a new Virginia Passenger Rail Authority. The bill also creates numerous new transportation safety programs, including an Interstate Operations and Enhancement Program, a Virginia Highway Safety Improvement Program, the Statewide Special Structures Program, and a Transit Incentive Program. This bill is identical to HB 1414. SUMMARY AS PASSED: Transportation. Amends numerous laws related to transportation funds, revenue sources, construction, and safety programs.   The bill adopts numerous structural changes to the transportation funding system in the Commonwealth. Most transportation revenues are directed to a new Commonwealth Transportation Fund and the existing Highway Maintenance and Operating Fund. Funds are then disbursed, based on codified formulas, to subfunds established to meet the varying transportation needs of different modes of transportation. The existing gas tax based on a percentage of the wholesale price of gasoline and diesel fuel is converted to a cents-per-gallon tax. A rate of $0.262 per gallon of gasoline will be phased in over two years, and then indexed every year thereafter. The regional gas tax will be converted to a rate of $0.076 per gallon of gasoline and will be imposed everywhere in the Commonwealth that a regional gas tax is not already imposed. Registration fees for motor vehicles will be lowered. The Department of Motor Vehicles will implement a Highway Use Fee for alternative fuel and fuel-efficient vehicles. Alternatively, a person whose vehicles would be subject to this new fee may elect to instead enroll in a mileage-based user fee program to be developed by the Department. The bill also eliminates the $5 walk-in fee for conducting certain transactions in person at the Department of Motor Vehicles, and prohibits a person from being issued a citation for both an expired motor vehicle inspection sticker and faulty equipment. In Northern Virginia, the regional transportation improvement fee, used to support the Washington Metropolitan Area Transit Authority (WMATA), is lowered to $0.10 per $100 for the recordation of conveyance of a deed. A new regional congestion fee is imposed at a rate of $0.10 per $100 for the recordation of conveyance of a deed. The regional transient occupancy tax is raised from two percent to three percent. The bill authorizes the use of transportation bonds to complete the final section of Corridor Q of the Appalachian Development Highway System, and authorizes a bond issuance for improvements in the Interstate 81 and Interstate 66 corridors. The bill establishes a new Virginia Passenger Rail Authority. The bill also creates numerous new transportation safety programs, including an Interstate Operations and Enhancement Program, a Virginia Highway Safety Improvement Program, the Statewide Special Structures Program, and a Transit Incentive Program. This bill is identical to HB 1414. SUMMARY AS PASSED SENATE: Transportation. Amends numerous laws related to transportation funds, revenue sources, construction, and safety programs. SUMMARY AS INTRODUCED: The bill adopts numerous structural changes to the transportation funding system in the Commonwealth. Most transportation revenues are directed to a new Commonwealth Transportation Fund and the existing Highway Maintenance and Operating Fund. Funds are then disbursed, based on codified formulas, to subfunds established to meet the varying transportation needs of different modes of transportation. The bill contains transitional provisions phasing in the new funding structure over a period of four years."
